Uniprot Accession,Description,Gene name,# Peptides,# Unique Peptides,M1 / Ref_2965_Mito,M2 / Ref_2965_Mito,M3 / Ref_2965_Mito,M4 / Ref_2965_Mito,M5 / Ref_2965_Mito,M6 / Ref_2965_Mito,M7 / Ref_2965_Mito,M8 / Ref_2965_Mito,M9 / Ref_2965_Mito,Subcellular location [CC],Gene ontology (cellular component),Sequence Coverage [%],# PSMs
P32350,Dual specificity protein kinase KNS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KNS1 PE=1 SV=2,KNS1,5,5,0.844,0.833,0.946,1.259,1.043,0.793,1.28,1.314,0.735,,nucleus [GO:0005634];cytoplasm [GO:0005737],9,5
Q05468,Ribosome quality control complex subunit 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RQC1 PE=1 SV=1,RQC1,5,5,1.146,1.032,1.148,0.905,0.871,0.9,1.087,1.005,0.953,Cytoplasm {ECO:0000269|PubMed:14562095}.,RQC complex [GO:1990112];cytoplasm [GO:0005737],9,5
Q12354,Acyl-protein thioesterase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YLR118C PE=1 SV=1,,3,3,0.66,0.598,0.533,1.099,1.102,1.331,0.983,1.241,1.331,Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.,nucleus [GO:0005634];cytoplasm [GO:0005737],22,5
Q06247,Putative uncharacterized protein YLR173W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YLR173W PE=1 SV=1,,4,4,1.713,1.227,1.545,0.955,1.029,0.855,1.18,0.882,0.684,Single-pass membrane protein {ECO:0000305}.;Membrane {ECO:0000305},integral component of membrane [GO:0016021],10,5
Q06339,Transcription factor tau 91 kDa subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TFC6 PE=1 SV=1,TFC6,5,5,0.734,0.921,0.837,1.104,1.115,1.008,1.146,0.896,0.764,Nucleus {ECO:0000269|PubMed:14562095}.,transcription factor TFIIIC complex [GO:0000127],10,5
Q12509,Actin-like protein ARP6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARP6 PE=1 SV=1,ARP6,5,5,0.919,1.298,1.155,1.591,1.55,1.185,1.498,0.871,0.532,Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.,nuclear periphery [GO:0034399];Swr1 complex [GO:0000812];cytoplasm [GO:0005737],13,5
P48363,Prefoldin subunit 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PAC10 PE=1 SV=1,PAC10,5,5,1.441,1.739,1.637,0.932,1.195,0.999,1.455,1.396,1.286,,polysome [GO:0005844];prefoldin complex [GO:0016272];cytoplasm [GO:0005737],24,5
P41930,Sulfite efflux pump SSU1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSU1 PE=1 SV=5,SSU1,3,3,1.273,0.97,1.412,1.338,1.079,0.986,0.708,0.903,0.602,Multi-pass membrane protein {ECO:0000269|PubMed:9294463}.;Cell membrane {ECO:0000269|PubMed:9294463},plasma membrane [GO:0005886];integral component of membrane [GO:0016021],4,5
P14747,Serine/threonine-protein phosphatase 2B catalytic subunit A2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CMP2 PE=1 SV=2,CMP2,4,3,1.314,1.111,1.362,0.669,0.854,0.823,0.935,0.891,0.931,,calcineurin complex [GO:0005955],7,5
Q07376,Probable transporter MCH1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MCH1 PE=1 SV=1,MCH1,3,3,1.164,0.887,0.907,0.783,0.666,0.773,0.802,0.925,1.013,Multi-pass membrane protein {ECO:0000269|PubMed:14562095}.;Vacuole membrane {ECO:0000269|PubMed:14562095},integral component of membrane [GO:0016021];membrane [GO:0016020];fungal-type vacuole membrane [GO:0000329],5,5
P20457,DNA primase large subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRI2 PE=1 SV=1,PRI2,5,5,1.232,1.638,1.301,0.97,0.974,0.764,1.24,0.827,0.488,,nuclear envelope [GO:0005635];nucleus [GO:0005634];alpha DNA polymerase:primase complex [GO:0005658],9,5
P53076,Vacuolar import and degradation protein 30 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VID30 PE=1 SV=1,VID30,5,5,1.616,0.995,1.188,0.89,1.02,0.766,1.205,0.861,0.654,Nucleus {ECO:0000269|PubMed:14562095}. Cytoplasm {ECO:0000269|PubMed:14562095}.,GID complex [GO:0034657];nucleus [GO:0005634];cytoplasm [GO:0005737],7,5
Q06604,Protein BSP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BSP1 PE=1 SV=1,BSP1,5,5,0.926,1.633,1.147,0.806,1.011,0.695,1.487,0.741,0.404,"Peripheral membrane protein. Cytoplasm, cytoskeleton, actin patch. Note=Peripheral membrane protein in a PtdIns(4)P and PtdIns(4,5)P2 manner.;Cell membrane",cellular bud neck [GO:0005935];cellular bud tip [GO:0005934];membrane [GO:0016020];plasma membrane [GO:0005886];actin cortical patch [GO:0030479],9,5
P53958,Protein BOP3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BOP3 PE=1 SV=1,BOP3,3,3,0.977,1.123,0.985,0.758,0.825,0.675,1.1,0.746,0.508,Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.,nucleus [GO:0005634];cytoplasm [GO:0005737],14,5
P53968,Transcriptional regulator CRZ1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CRZ1 PE=1 SV=1,CRZ1,5,5,0.647,0.99,0.832,1.444,1.291,0.981,1.149,0.769,0.448,Nucleus {ECO:0000269|PubMed:10197980}. Cytoplasm {ECO:0000269|PubMed:10197980}.,nucleus [GO:0005634];cytoplasm [GO:0005737],9,5
P38819,Protein ERP5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ERP5 PE=1 SV=1,ERP5,3,3,1.556,1.31,1.414,0.89,0.785,0.649,1.139,0.856,0.471,Single-pass type I membrane protein {ECO:0000250}.;Endoplasmic reticulum membrane {ECO:0000250},integral component of membrane [GO:0016021];endoplasmic reticulum membrane [GO:0005789],11,5
Q04225,Ribosome assembly protein RRB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RRB1 PE=1 SV=1,RRB1,5,5,1.155,1.467,1.201,0.956,1.032,0.781,1.149,0.897,0.72,Nucleus.,nucleolus [GO:0005730],13,5
P38203,U6 snRNA-associated Sm-like protein LSm2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LSM2 PE=1 SV=1,LSM2,4,4,0.867,1.323,0.801,0.52,0.64,0.486,0.807,0.53,0.322,Nucleus. Cytoplasm {ECO:0000305}.,Lsm1-7-Pat1 complex [GO:1990726];nucleolus [GO:0005730];P-body [GO:0000932];precatalytic spliceosome [GO:0071011];small nucleolar ribonucleoprotein complex [GO:0005732];U4/U6 x U5 tri-snRNP complex [GO:0046540];U6 snRNP [GO:0005688];catalytic step 2 spliceosome [GO:0071013],51,5
P18411,Protein FUN14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FUN14 PE=1 SV=3,FUN14,2,2,0.714,0.659,0.585,1.185,1.161,1.395,1.138,1.422,1.671,Multi-pass membrane protein {ECO:0000305}.;Membrane {ECO:0000305},integral component of mitochondrial outer membrane [GO:0031307],10,5
P38913,FAD synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FAD1 PE=1 SV=1,FAD1,5,5,1.157,0.988,1.157,1.284,1.258,1.004,1.103,1.007,0.639,Cytoplasm.,cytoplasm [GO:0005737],20,5
P42938,Probable ATP-dependent kinase TDA10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TDA10 PE=1 SV=1,TDA10,5,5,0.97,0.969,1.181,1.058,1.12,1.115,0.971,1.031,0.812,Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.,nucleus [GO:0005634];cytosol [GO:0005829],20,5
Q03508,Uncharacterized protein YMR265C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YMR265C PE=4 SV=1,,5,5,0.775,1.272,0.85,1.294,1.351,0.995,1.121,0.964,0.705,,,10,5
P13483,Oligo(A)/oligo(T)-binding protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DAT1 PE=1 SV=1,DAT1,2,2,0.941,1.376,1.036,1.042,0.907,0.756,0.955,0.555,0.409,,nucleus [GO:0005634];cytosol [GO:0005829],8,5
Q12004,RNA polymerase II transcription factor B subunit 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TFB4 PE=1 SV=1,TFB4,4,4,1.317,1.094,1.161,0.719,0.667,0.578,0.859,0.62,0.386,Nucleus {ECO:0000250}.,holo TFIIH complex [GO:0005675];nucleotide-excision repair factor 3 complex [GO:0000112];core TFIIH complex [GO:0000439],12,5
P33331,Nuclear transport factor 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NTF2 PE=1 SV=2,NTF2,3,3,1.183,1.216,1.251,0.761,0.851,0.861,1.046,1.012,0.836,Cytoplasm {ECO:0000269|PubMed:12065398}.,nuclear envelope [GO:0005635];cytoplasm [GO:0005737],23,5
Q12172,Zinc finger transcription factor YRR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YRR1 PE=1 SV=1,YRR1,5,5,0.638,0.749,0.635,1.59,1.497,1.188,1.24,0.94,0.771,"Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000255|PROSITE-ProRule:PRU00227, ECO:0000269|PubMed:14562095}.",nucleus [GO:0005634];cytoplasm [GO:0005737],9,5
Q02159,Ubiquitin-conjugating enzyme E2 7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UBC7 PE=1 SV=1,UBC7,5,5,1.036,1.106,1.192,0.879,0.924,0.603,1.071,0.791,0.454,Cytoplasmic side. Note=Anchored via the membrane protein CUE1 to the endoplasmic reticulum membrane.;Peripheral membrane protein;Endoplasmic reticulum membrane,endoplasmic reticulum membrane [GO:0005789];Hrd1p ubiquitin ligase ERAD-L complex [GO:0000839];Doa10p ubiquitin ligase complex [GO:0000837],29,5
Q12331,FAS1 domain-containing protein YDR262W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YDR262W PE=1 SV=1,,4,4,0.745,0.729,0.766,1.286,1.229,0.811,1.472,1.147,0.713,Vacuole {ECO:0000269|PubMed:14562095}.,vacuole [GO:0005773],21,5
P33204,Actin-related protein 2/3 complex subunit 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARC19 PE=1 SV=2,ARC19,3,3,1.069,2.045,1.112,0.643,0.71,0.537,1.646,0.752,0.465,"Cytoplasm, cytoskeleton, actin patch.",Arp2/3 protein complex [GO:0005885];actin cortical patch [GO:0030479],21,5
Q12425,Iron-sulfur assembly protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ISA2 PE=1 SV=1,ISA2,3,3,0.827,0.728,0.761,1.108,1.053,1.1,0.998,1.119,1.29,Mitochondrion matrix.,mitochondrial matrix [GO:0005759];mitochondrial intermembrane space [GO:0005758],12,5
Q04847,Non-SCF-type F-box protein ROY1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ROY1 PE=1 SV=1,ROY1,5,5,0.944,0.991,0.981,1.337,1.169,1.061,1.292,1.028,0.922,Peripheral membrane protein.;Cytoplasm. Nucleus. Cytoplasmic vesicle membrane,nucleus [GO:0005634];cytoplasmic vesicle membrane [GO:0030659],11,5
P32447,Histone chaperone ASF1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ASF1 PE=1 SV=1,ASF1,3,3,1.487,1.347,1.324,1.059,1.138,1.029,1.084,1,0.79,"Nucleus {ECO:0000269|PubMed:11404324, ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:16020781}.","cytosol [GO:0005829];nucleus [GO:0005634];chromosome, telomeric region [GO:0000781]",13,5
P53315,6-phosphogluconolactonase 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SOL4 PE=1 SV=1,SOL4,5,5,1.17,1.434,1.44,0.611,0.621,0.644,1.085,0.95,0.807,Cytoplasm. Nucleus.,nucleus [GO:0005634];cytosol [GO:0005829],30,5
P53272,Uncharacterized protein YGR122W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YGR122W PE=4 SV=1,,4,4,1.081,1.212,1.23,1.123,1.117,0.931,0.986,0.927,0.634,,,11,5
Q05521,Diacylglycerol pyrophosphate phosphatase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DPP1 PE=1 SV=1,DPP1,3,3,1.397,1.278,1.59,0.892,0.95,0.737,0.87,0.78,0.672,"Multi-pass membrane protein {ECO:0000269|PubMed:11139591, ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:8567632}.;Vacuole membrane {ECO:0000269|PubMed:11139591, ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:8567632}",integral component of membrane [GO:0016021];fungal-type vacuole membrane [GO:0000329],10,5
Q00776,AP-1 complex subunit mu-1-I OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=APM1 PE=1 SV=2,APM1,5,5,0.962,1.104,1.198,0.769,0.792,0.608,0.794,0.664,0.479,"Cytoplasmic side {ECO:0000250}.;Cytoplasmic side {ECO:0000250}. Membrane, clathrin-coated pit {ECO:0000250};Peripheral membrane protein {ECO:0000250};Cytoplasmic vesicle. Cytoplasmic vesicle, clathrin-coated vesicle membrane {ECO:0000250}",clathrin-coated pit [GO:0005905];AP-1 adaptor complex [GO:0030121],9,5
Q05580,E3 ubiquitin-protein ligase HEL2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HEL2 PE=1 SV=1,HEL2,4,4,1.197,1.311,1.272,0.813,0.821,0.72,0.973,0.846,0.639,Cytoplasm {ECO:0000269|PubMed:14562095}.,cytoplasm [GO:0005737],7,5
P32773,Transcription initiation factor IIA large subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TOA1 PE=1 SV=1,TOA1,4,4,1.383,1.889,1.733,1.749,1.793,1.227,1.577,1,0.66,Cytoplasm {ECO:0000269|PubMed:10525531}. Nucleus {ECO:0000269|PubMed:10525531}. Note=Imported to nucleus via interaction with KAP122.,transcription factor TFIIA complex [GO:0005672];cytoplasm [GO:0005737],15,5
P42846,Protein KRI1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KRI1 PE=1 SV=1,KRI1,4,4,0.845,2.097,0.945,1.297,1.327,0.854,1.519,0.997,0.621,"Nucleus, nucleolus {ECO:0000269|PubMed:11027267, ECO:0000269|PubMed:14562095}.",nucleolus [GO:0005730];90S preribosome [GO:0030686],9,5
P46965,Signal peptidase complex subunit SPC1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SPC1 PE=1 SV=1,SPC1,3,3,1.336,1.114,1.266,1.227,0.965,0.767,1.118,0.818,0.495,Multi-pass membrane protein.;Endoplasmic reticulum membrane,signal peptidase complex [GO:0005787];integral component of endoplasmic reticulum membrane [GO:0030176],22,5
P31381,Nucleoside transporter FUN26 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FUN26 PE=1 SV=1,FUN26,2,2,1.459,1.157,1.394,1.172,1.244,1.044,1.032,0.839,0.787,Multi-pass membrane protein {ECO:0000305}.;Membrane {ECO:0000305},integral component of membrane [GO:0016021];intracellular [GO:0005622];membrane [GO:0016020];fungal-type vacuole membrane [GO:0000329],3,5
P25368,Ribosomal RNA-processing protein 7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RRP7 PE=1 SV=1,RRP7,3,3,0.717,1.384,0.71,0.945,0.889,0.738,1.259,0.919,0.747,"Nucleus, nucleolus {ECO:0000269|PubMed:14562095}.",nucleoplasm [GO:0005654];UTP-C complex [GO:0034456];CURI complex [GO:0032545],14,5
Q12069,"tRNA pseudouridine(32) synthase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PUS9 PE=1 SV=1",PUS9,4,4,0.866,0.78,0.699,1.067,1.069,1.237,0.945,1.209,1.318,Mitochondrion {ECO:0000305|PubMed:15466869}.,mitochondrion [GO:0005739],14,5
P17629,THO complex subunit HPR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HPR1 PE=1 SV=2,HPR1,4,4,0.939,1.509,1.121,1.122,1.279,0.98,1.042,0.93,0.669,"Nucleus {ECO:0000269|PubMed:11060033, ECO:0000269|PubMed:14562095}.","nucleoplasmic THO complex [GO:0000446];THO complex part of transcription export complex [GO:0000445];chromosome, telomeric region [GO:0000781]",8,5
P20433,DNA-directed RNA polymerase II subunit RPB4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPB4 PE=1 SV=1,RPB4,5,5,1.635,1.919,1.776,0.965,1.151,0.918,1.362,0.952,0.68,"Nucleus. Cytoplasm. Cytoplasm, P-body. Note=Seems to shuttle between nucleus and cytoplasm in a complex with RPB7.","DNA-directed RNA polymerase II, core complex [GO:0005665];nucleus [GO:0005634];P-body [GO:0000932];cytoplasm [GO:0005737]",33,5
P25341,Serine/threonine-protein kinase KIN82 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KIN82 PE=1 SV=3,KIN82,3,2,0.767,0.767,0.655,0.609,0.656,0.726,0.954,1.032,0.982,,nucleus [GO:0005634];plasma membrane [GO:0005886];cytoplasm [GO:0005737],5,5
P40484,DBF2 kinase activator protein MOB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MOB1 PE=1 SV=2,MOB1,3,3,1.315,1.17,1.447,1.049,0.929,0.741,0.909,0.882,0.678,"Cytoplasm. Nucleus. Cytoplasm, cytoskeleton, microtubule organizing center, spindle pole body. Bud neck. Chromosome, centromere. Note=Localizes predominantly to the cytoplasmic surface of the spindle pole body during anaphase and to a ring at the bud neck during cytokinesis. Translocates to the nucleus during mitosis and associates with centromere DNA.","chromosome, centromeric region [GO:0000775];cytoplasm [GO:0005737];nucleus [GO:0005634];spindle pole body [GO:0005816];cellular bud neck [GO:0005935]",14,5
P38992,Sphingolipid C4-hydroxylase SUR2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SUR2 PE=1 SV=1,SUR2,4,4,1.637,1.317,1.504,0.781,0.71,0.587,0.92,0.652,0.366,Multi-pass membrane protein {ECO:0000305}.;Endoplasmic reticulum membrane {ECO:0000305},integral component of membrane [GO:0016021];endoplasmic reticulum membrane [GO:0005789],8,5
Q07800,Phosphatase PSR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PSR1 PE=1 SV=1,PSR1,4,3,1.231,0.895,1.404,0.885,0.785,0.789,0.736,0.776,0.755,"Cell membrane {ECO:0000269|PubMed:10777497, ECO:0000269|PubMed:14562095}.",plasma membrane [GO:0005886];phosphatase complex [GO:1903293],10,5
Q12516,Regulator of phospholipase D SRF1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SRF1 PE=1 SV=1,SRF1,4,4,1.693,1.338,1.937,1.056,0.946,0.814,1.157,1.08,0.616,Multi-pass membrane protein {ECO:0000305}.;Membrane {ECO:0000305},integral component of membrane [GO:0016021],10,5
P36062,Vacuolar amino acid transporter 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AVT3 PE=1 SV=1,AVT3,4,4,1.453,1.112,1.649,0.874,0.944,0.941,0.784,0.715,0.627,Multi-pass membrane protein {ECO:0000269|PubMed:11274162}.;Vacuole membrane {ECO:0000269|PubMed:11274162},fungal-type vacuole membrane [GO:0000329];integral component of membrane [GO:0016021];fungal-type vacuole [GO:0000324],7,5
P53077,"Maintenance of telomere capping protein 3, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MTC3 PE=1 SV=1",MTC3,4,4,0.529,0.473,0.462,1.239,1.2,1.412,0.967,1.345,1.333,Mitochondrion {ECO:0000269|PubMed:14562095}.,mitochondrial respiratory chain complex IV [GO:0005751],21,5
P32361,Serine/threonine-protein kinase/endoribonuclease IRE1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IRE1 PE=1 SV=2,IRE1,5,5,1.261,1.101,1.237,0.995,0.901,0.685,1.207,0.885,0.61,Single-pass type I membrane protein.;Endoplasmic reticulum membrane,integral component of endoplasmic reticulum membrane [GO:0030176];nucleus [GO:0005634];endoplasmic reticulum membrane [GO:0005789],5,5
Q03656,Serine/threonine-protein kinase SKY1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SKY1 PE=1 SV=1,SKY1,4,4,1.24,1.115,1.368,1.003,1.049,0.861,0.99,0.883,0.667,,nucleus [GO:0005634];cytoplasm [GO:0005737],4,5
P40550,ATP-dependent permease PDR11 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PDR11 PE=1 SV=3,PDR11,4,3,1.565,1.07,1.433,1.038,1.08,1.031,0.928,1.042,1.032,Multi-pass membrane protein {ECO:0000305}.;Membrane {ECO:0000305},membrane [GO:0016020];plasma membrane [GO:0005886];integral component of membrane [GO:0016021],3,5
Q12382,CTP-dependent diacylglycerol kinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DGK1 PE=1 SV=1,DGK1,4,4,0.795,0.873,1.206,1.169,1.125,0.732,1.184,0.705,0.628,Multi-pass membrane protein.;Multi-pass membrane protein. Golgi apparatus membrane;Multi-pass membrane protein. Nucleus membrane;Endoplasmic reticulum membrane,integral component of endoplasmic reticulum membrane [GO:0030176];integral component of membrane [GO:0016021];nuclear membrane [GO:0031965];Golgi membrane [GO:0000139],14,5
P53123,"rRNA methyltransferase 2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MRM2 PE=1 SV=1",MRM2,4,4,0.714,0.634,0.588,1.151,1.098,1.38,1.146,1.376,1.753,Mitochondrion {ECO:0000269|PubMed:11867542}.,mitochondrion [GO:0005739],13,5
P21269,"CCA tRNA nucleotidyltransferase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CCA1 PE=1 SV=1",CCA1,5,5,0.74,0.702,0.637,0.904,0.969,1.115,0.963,1.169,1.354,Isoform Mitochondrial: Mitochondrion.;Cytoplasm. Nucleus.,mitochondrial matrix [GO:0005759];nucleus [GO:0005634];cytoplasm [GO:0005737],11,5
P38985,Signal recognition particle subunit SRP14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SRP14 PE=1 SV=1,SRP14,3,3,1.137,1.272,1.205,0.726,0.735,0.65,0.856,0.716,0.492,Cytoplasm {ECO:0000250}. Nucleus {ECO:0000269|PubMed:11352936}.,"signal recognition particle, endoplasmic reticulum targeting [GO:0005786];nucleus [GO:0005634]",29,5
P39535,Low-affinity phosphate transporter PHO90 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PHO90 PE=1 SV=1,PHO90,4,3,1.899,1.216,1.258,0.843,0.92,1.192,1.252,0.646,0.507,Multi-pass membrane protein {ECO:0000305}.;Membrane {ECO:0000305},plasma membrane [GO:0005886];integral component of membrane [GO:0016021],4,5
Q01846,Structural protein MDM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MDM1 PE=1 SV=3,MDM1,5,4,1.439,1.156,1.34,1.136,0.93,1.007,1.059,0.943,0.672,Cytoplasm {ECO:0000269|PubMed:1378448}.,nucleus-vacuole junction [GO:0071561];cytoplasm [GO:0005737],6,5
Q12234,GRIP domain-containing protein RUD3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RUD3 PE=1 SV=1,RUD3,5,5,1.669,1.612,1.528,0.922,1.004,0.862,1.14,0.986,0.722,"Golgi apparatus lumen {ECO:0000269|PubMed:12646213, ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:15504911}. Note=The Golgi localization needs the presence of ARF1 and ERV14.",Golgi lumen [GO:0005796];Golgi membrane [GO:0000139];Golgi apparatus [GO:0005794],18,5
P39009,DNA damage response protein kinase DUN1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DUN1 PE=1 SV=1,DUN1,5,5,1.327,1.196,1.245,0.912,0.87,0.777,1.21,0.898,0.735,Nucleus.,nucleus [GO:0005634],12,5
P38260,Hsp70 nucleotide exchange factor FES1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FES1 PE=1 SV=1,FES1,4,4,1.652,1.456,1.855,0.832,0.893,0.844,1.197,0.999,0.83,"Cytoplasm {ECO:0000269|PubMed:12052876, ECO:0000269|PubMed:14562095}.",cytosol [GO:0005829],15,5
Q12244,Uncharacterized transcriptional regulatory protein YLL054C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YLL054C PE=1 SV=2,,5,5,0.895,1.299,1.111,1.117,1.144,0.846,1.112,0.675,0.391,Nucleus {ECO:0000305}.,nucleus [GO:0005634],6,5
Q07528,Autophagy-related protein 20 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ATG20 PE=1 SV=1,ATG20,5,5,1.182,0.916,1.143,1.003,1.055,1.017,1.103,1.002,0.851,Peripheral membrane protein.;Peripheral membrane protein. Preautophagosomal structure membrane;Endosome membrane,endosome [GO:0005768];endosome membrane [GO:0010008];extrinsic component of membrane [GO:0019898];phagophore assembly site [GO:0000407];phagophore assembly site membrane [GO:0034045];cytosol [GO:0005829],6,5
Q04399,Putative multicopper oxidase GMC1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GMC1 PE=1 SV=1,GMC1,5,5,1.486,1.012,1.162,1.014,1.085,0.764,1.081,0.779,0.534,,,8,5
P17649,4-aminobutyrate aminotransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UGA1 PE=1 SV=2,UGA1,5,5,1.537,1.232,1.498,0.679,0.715,0.678,0.887,0.854,0.633,Cytoplasm {ECO:0000269|PubMed:11914276}.,cytosol [GO:0005829],14,5
P53153,Probable endonuclease LCL3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LCL3 PE=1 SV=1,LCL3,4,4,0.747,0.648,0.59,0.988,0.864,1.082,0.819,0.967,1.038,Single-pass membrane protein {ECO:0000305}.;Mitochondrion {ECO:0000269|PubMed:14562095}. Membrane {ECO:0000305},mitochondrion [GO:0005739];nucleus [GO:0005634];integral component of membrane [GO:0016021],8,5
Q12753,Transcriptional activator HAA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HAA1 PE=1 SV=1,HAA1,4,4,0.727,1.075,0.922,1.345,1.224,0.961,1.112,0.819,0.561,Nucleus {ECO:0000269|PubMed:11504737}.,nucleus [GO:0005634],8,5
P53507,Mitochondrial import receptor subunit TOM7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TOM7 PE=1 SV=2,TOM7,2,2,0.884,0.807,0.71,1.12,1.077,1.342,1.087,1.45,1.815,Single-pass membrane protein.;Mitochondrion outer membrane,mitochondrial outer membrane [GO:0005741];mitochondrial outer membrane translocase complex [GO:0005742];integral component of mitochondrial outer membrane [GO:0031307],25,5
